co_municipio,,no_municipio,,,populacao,,populacao,
350670,",'",BOA ESPERANCA DO SUL,,",",15111,,"15,111","INSERT INTO public.populacao VALUES (350670,'BOA ESPERANCA DO SUL',15111);"
355680,",'",VIRADOURO,,",",19133,,"19,133","INSERT INTO public.populacao VALUES (355680,'VIRADOURO',19133);"
351560,",'",FERNANDO PRESTES,,",",5805,,"5,805","INSERT INTO public.populacao VALUES (351560,'FERNANDO PRESTES',5805);"
351950,",'",IBIRAREMA,,",",7926,,"7,926","INSERT INTO public.populacao VALUES (351950,'IBIRAREMA',7926);"
352400,",'",ITUPEVA,,",",64330,,"64,33","INSERT INTO public.populacao VALUES (352400,'ITUPEVA',64330);"
350710,",'",BOM JESUS DOS PERDOES,,",",26000,,0,"INSERT INTO public.populacao VALUES (350710,'BOM JESUS DOS PERDOES',26000);"
353420,",'",ORINDIUVA,,",",7318,,"7,318","INSERT INTO public.populacao VALUES (353420,'ORINDIUVA',7318);"
352220,",'",ITAPECERICA DA SERRA,,",",179574,,"179,574","INSERT INTO public.populacao VALUES (352220,'ITAPECERICA DA SERRA',179574);"
352820,",'",MACEDONIA,,",",3500,,0,"INSERT INTO public.populacao VALUES (352820,'MACEDONIA',3500);"
351140,",'",CERQUEIRA CESAR,,",",20391,,"20,391","INSERT INTO public.populacao VALUES (351140,'CERQUEIRA CESAR',20391);"
351100,",'",CASTILHO,,",",21521,,"21,521","INSERT INTO public.populacao VALUES (351100,'CASTILHO',21521);"
351870,",'",GUARUJA,,",",324977,,"324,977","INSERT INTO public.populacao VALUES (351870,'GUARUJA',324977);"
352740,",'",LUCELIA,,",",22022,,"22,022","INSERT INTO public.populacao VALUES (352740,'LUCELIA',22022);"
354960,",'",SAO JOSE DO BARREIRO,,",",4141,,"4,141","INSERT INTO public.populacao VALUES (354960,'SAO JOSE DO BARREIRO',4141);"
350115,",'",ALUMINIO,,",",18903,,"18,903","INSERT INTO public.populacao VALUES (350115,'ALUMINIO',18903);"
354500,",'",SALESOPOLIS,,",",17363,,"17,363","INSERT INTO public.populacao VALUES (354500,'SALESOPOLIS',17363);"
351570,",'",FERRAZ DE VASCONCELOS,,",",198661,,"198,661","INSERT INTO public.populacao VALUES (351570,'FERRAZ DE VASCONCELOS',198661);"
355110,",'",SARAPUI,,",",10493,,"10,493","INSERT INTO public.populacao VALUES (355110,'SARAPUI',10493);"
354900,",'",SAO FRANCISCO,,",",2813,,"2,813","INSERT INTO public.populacao VALUES (354900,'SAO FRANCISCO',2813);"
353205,",'",MOTUCA,,",",4831,,"4,831","INSERT INTO public.populacao VALUES (353205,'MOTUCA',4831);"
353700,",'",PEDREGULHO,,",",16876,,"16,876","INSERT INTO public.populacao VALUES (353700,'PEDREGULHO',16876);"
350150,",'",ALVINLANDIA,,",",3251,,0,"INSERT INTO public.populacao VALUES (350150,'ALVINLANDIA',3251);"
353220,",'",NARANDIBA,,",",4950,,"4,95","INSERT INTO public.populacao VALUES (353220,'NARANDIBA',4950);"
355060,",'",SAO ROQUE,,",",93076,,"93,076","INSERT INTO public.populacao VALUES (355060,'SAO ROQUE',93076);"
351905,",'",HOLAMBRA,,",",15605,,"15,605","INSERT INTO public.populacao VALUES (351905,'HOLAMBRA',15605);"
354280,",'",RIBEIRA,,",",3320,,"3,32","INSERT INTO public.populacao VALUES (354280,'RIBEIRA',3320);"
#N/A,",'",SANTA BARBARA D OESTE,,",",195000,,"195,278",#N/A
351230,",'",CONCHAS,,",",18138,,"18,138","INSERT INTO public.populacao VALUES (351230,'CONCHAS',18138);"
351925,",'",IARAS,,",",9786,,"9,786","INSERT INTO public.populacao VALUES (351925,'IARAS',9786);"
352050,",'",INDAIATUBA,,",",260690,,"260,69","INSERT INTO public.populacao VALUES (352050,'INDAIATUBA',260690);"
354020,",'",PONTAL,,",",51717,,"51,717","INSERT INTO public.populacao VALUES (354020,'PONTAL',51717);"
353980,",'",POA,,",",119221,,"119,221","INSERT INTO public.populacao VALUES (353980,'POA',119221);"
354470,",'",SAGRES,,",",2427,,"2,427","INSERT INTO public.populacao VALUES (354470,'SAGRES',2427);"
353715,",'",PEDRINHAS PAULISTA,,",",3109,,"3,109","INSERT INTO public.populacao VALUES (353715,'PEDRINHAS PAULISTA',3109);"
354510,",'",SALMOURAO,,",",5372,,"5,372","INSERT INTO public.populacao VALUES (354510,'SALMOURAO',5372);"
355460,",'",TIMBURI,,",",2647,,"2,647","INSERT INTO public.populacao VALUES (355460,'TIMBURI',2647);"
354150,",'",PRESIDENTE VENCESLAU,,",",39648,,"39,648","INSERT INTO public.populacao VALUES (354150,'PRESIDENTE VENCESLAU',39648);"
351900,",'",HERCULANDIA,,",",9649,,0,"INSERT INTO public.populacao VALUES (351900,'HERCULANDIA',9649);"
352980,",'",MINEIROS DO TIETE,,",",13023,,0,"INSERT INTO public.populacao VALUES (352980,'MINEIROS DO TIETE',13023);"
353890,",'",PIRAJUI,,",",25939,,"25,939","INSERT INTO public.populacao VALUES (353890,'PIRAJUI',25939);"
351750,",'",GUAPIACU,,",",22087,,"22,087","INSERT INTO public.populacao VALUES (351750,'GUAPIACU',22087);"
350470,",'",BALBINOS,,",",6127,,"6,127","INSERT INTO public.populacao VALUES (350470,'BALBINOS',6127);"
351535,",'",EUCLIDES DA CUNHA PAULISTA,,",",9280,,"9,28","INSERT INTO public.populacao VALUES (351535,'EUCLIDES DA CUNHA PAULISTA',9280);"
353640,",'",PAULICEIA,,",",7540,,"7,54","INSERT INTO public.populacao VALUES (353640,'PAULICEIA',7540);"
350620,",'",BENTO DE ABREU,,",",3028,,"3,028","INSERT INTO public.populacao VALUES (350620,'BENTO DE ABREU',3028);"
353100,",'",MONCOES,,",",2100,,0,"INSERT INTO public.populacao VALUES (353100,'MONCOES',2100);"
353560,",'",PARAIBUNA,,",",18000,,0,"INSERT INTO public.populacao VALUES (353560,'PARAIBUNA',18000);"
353380,",'",OLEO,,",",2447,,"2,447","INSERT INTO public.populacao VALUES (353380,'OLEO',2447);"
351640,",'",FRANCO DA ROCHA,,",",158438,,"158,438","INSERT INTO public.populacao VALUES (351640,'FRANCO DA ROCHA',158438);"
353090,",'",MOMBUCA,,",",3523,,"3,523","INSERT INTO public.populacao VALUES (353090,'MOMBUCA',3523);"
353160,",'",MONTE CASTELO,,",",4166,,"4,166","INSERT INTO public.populacao VALUES (353160,'MONTE CASTELO',4166);"
353650,",'",PAULINIA,,",",114508,,"114,508","INSERT INTO public.populacao VALUES (353650,'PAULINIA',114508);"
350080,",'",ALFREDO MARCONDES,,",",4201,,"4,201","INSERT INTO public.populacao VALUES (350080,'ALFREDO MARCONDES',4201);"
352700,",'",LINDOIA,,",",8201,,"8,201","INSERT INTO public.populacao VALUES (352700,'LINDOIA',8201);"
353350,",'",NOVO HORIZONTE,,",",41000,,0,"INSERT INTO public.populacao VALUES (353350,'NOVO HORIZONTE',41000);"
351490,",'",ELIAS FAUSTO,,",",18095,,"18,095","INSERT INTO public.populacao VALUES (351490,'ELIAS FAUSTO',18095);"
355700,",'",VOTORANTIM,,",",124468,,"124,468","INSERT INTO public.populacao VALUES (355700,'VOTORANTIM',124468);"
352880,",'",MARACAI,,",",14069,,"14,069","INSERT INTO public.populacao VALUES (352880,'MARACAI',14069);"
350925,",'",CAJATI,,",",28441,,"28,441","INSERT INTO public.populacao VALUES (350925,'CAJATI',28441);"
354070,",'",PORTO FERREIRA,,",",56848,,"56,848","INSERT INTO public.populacao VALUES (354070,'PORTO FERREIRA',56848);"
352590,",'",JUNDIAI,,",",426935,,"426,935","INSERT INTO public.populacao VALUES (352590,'JUNDIAI',426935);"
355635,",'",VARGEM,,",",10842,,"10,842","INSERT INTO public.populacao VALUES (355635,'VARGEM',10842);"
354750,",'",SANTA RITA DO PASSA QUATRO,,",",27641,,"27,641","INSERT INTO public.populacao VALUES (354750,'SANTA RITA DO PASSA QUATRO',27641);"
350590,",'",BATATAIS,,",",63438,,"63,438","INSERT INTO public.populacao VALUES (350590,'BATATAIS',63438);"
350200,",'",ANALANDIA,,",",5115,,0,"INSERT INTO public.populacao VALUES (350200,'ANALANDIA',5115);"
350715,",'",BOM SUCESSO DE ITARARE,,",",4013,,"4,013","INSERT INTO public.populacao VALUES (350715,'BOM SUCESSO DE ITARARE',4013);"
355495,",'",TUIUTI,,",",7058,,"7,058","INSERT INTO public.populacao VALUES (355495,'TUIUTI',7058);"
355320,",'",TAIUVA,,",",5562,,"5,562","INSERT INTO public.populacao VALUES (355320,'TAIUVA',5562);"
354350,",'",RIVERSUL,,",",5364,,"5,364","INSERT INTO public.populacao VALUES (354350,'RIVERSUL',5364);"
353200,",'",MORUNGABA,,",",13936,,"13,936","INSERT INTO public.populacao VALUES (353200,'MORUNGABA',13936);"
352810,",'",MACAUBAL,,",",8174,,"8,174","INSERT INTO public.populacao VALUES (352810,'MACAUBAL',8174);"
354660,",'",SANTA FE DO SUL,,",",32796,,"32,796","INSERT INTO public.populacao VALUES (354660,'SANTA FE DO SUL',32796);"
355350,",'",TAPIRAI,,",",7725,,"7,725","INSERT INTO public.populacao VALUES (355350,'TAPIRAI',7725);"
354450,",'",RUBINEIA,,",",3191,,"3,191","INSERT INTO public.populacao VALUES (354450,'RUBINEIA',3191);"
354085,",'",PRACINHA,,",",4327,,"4,327","INSERT INTO public.populacao VALUES (354085,'PRACINHA',4327);"
350410,",'",ATIBAIA,,",",145378,,"145,378","INSERT INTO public.populacao VALUES (350410,'ATIBAIA',145378);"
354250,",'",REGINOPOLIS,,",",10047,,"10,047","INSERT INTO public.populacao VALUES (354250,'REGINOPOLIS',10047);"
350230,",'",ANHEMBI,,",",6911,,"6,911","INSERT INTO public.populacao VALUES (350230,'ANHEMBI',6911);"
350360,",'",AREIOPOLIS,,",",11186,,"11,186","INSERT INTO public.populacao VALUES (350360,'AREIOPOLIS',11186);"
351790,",'",GUARACI,,",",11382,,"11,382","INSERT INTO public.populacao VALUES (351790,'GUARACI',11382);"
352580,",'",JULIO MESQUITA,,",",4824,,"4,824","INSERT INTO public.populacao VALUES (352580,'JULIO MESQUITA',4824);"
351565,",'",FERNAO,,",",1739,,"1,739","INSERT INTO public.populacao VALUES (351565,'FERNAO',1739);"
350250,",'",APARECIDA,,",",36211,,"36,211","INSERT INTO public.populacao VALUES (350250,'APARECIDA',36211);"
354320,",'",RIBEIRAO DO SUL,,",",4537,,"4,537","INSERT INTO public.populacao VALUES (354320,'RIBEIRAO DO SUL',4537);"
352265,",'",ITAPIRAPUA PAULISTA,,",",4294,,"4,294","INSERT INTO public.populacao VALUES (352265,'ITAPIRAPUA PAULISTA',4294);"
352270,",'",ITAPOLIS,,",",43536,,"43,536","INSERT INTO public.populacao VALUES (352270,'ITAPOLIS',43536);"
350020,",'",ADOLFO,,",",3545,,"3,545","INSERT INTO public.populacao VALUES (350020,'ADOLFO',3545);"
354030,",'",PONTES GESTAL,,",",2576,,"2,576","INSERT INTO public.populacao VALUES (354030,'PONTES GESTAL',2576);"
350090,",'",ALTAIR,,",",4211,,"4,211","INSERT INTO public.populacao VALUES (350090,'ALTAIR',4211);"
351200,",'",COLINA,,",",18601,,"18,601","INSERT INTO public.populacao VALUES (351200,'COLINA',18601);"
352110,",'",IPEUNA,,",",7824,,"7,824","INSERT INTO public.populacao VALUES (352110,'IPEUNA',7824);"
354805,",'",SANTO ANTONIO DO ARACANGUA,,",",8500,,0,"INSERT INTO public.populacao VALUES (354805,'SANTO ANTONIO DO ARACANGUA',8500);"
354700,",'",SANTA MARIA DA SERRA,,",",6298,,"6,298","INSERT INTO public.populacao VALUES (354700,'SANTA MARIA DA SERRA',6298);"
355630,",'",VALPARAISO,,",",27154,,"27,154","INSERT INTO public.populacao VALUES (355630,'VALPARAISO',27154);"
352310,",'",ITAQUAQUECETUBA,,",",379082,,"379,082","INSERT INTO public.populacao VALUES (352310,'ITAQUAQUECETUBA',379082);"
352090,",'",IPAUSSU,,",",15165,,"15,165","INSERT INTO public.populacao VALUES (352090,'IPAUSSU',15165);"
350790,",'",BROTAS,,",",24862,,"24,862","INSERT INTO public.populacao VALUES (350790,'BROTAS',24862);"
351840,",'",GUARATINGUETA,,",",123192,,"123,192","INSERT INTO public.populacao VALUES (351840,'GUARATINGUETA',123192);"
352520,",'",JARINU,,",",31173,,"31,173","INSERT INTO public.populacao VALUES (352520,'JARINU',31173);"
350190,",'",AMPARO,,",",73145,,"73,145","INSERT INTO public.populacao VALUES (350190,'AMPARO',73145);"
354600,",'",SANTA BRANCA,,",",14925,,"14,925","INSERT INTO public.populacao VALUES (354600,'SANTA BRANCA',14925);"
355690,",'",VISTA ALEGRE DO ALTO,,",",9163,,"9,163","INSERT INTO public.populacao VALUES (355690,'VISTA ALEGRE DO ALTO',9163);"
355730,",'",ESTIVA GERBI,,",",11507,,"11,507","INSERT INTO public.populacao VALUES (355730,'ESTIVA GERBI',11507);"
353150,",'",MONTE AZUL PAULISTA,,",",18928,,"18,928","INSERT INTO public.populacao VALUES (353150,'MONTE AZUL PAULISTA',18928);"
352965,",'",MESOPOLIS,,",",1903,,"1,903","INSERT INTO public.populacao VALUES (352965,'MESOPOLIS',1903);"
354220,",'",RANCHARIA,,",",29743,,"29,743","INSERT INTO public.populacao VALUES (354220,'RANCHARIA',29743);"
352585,",'",JUMIRIM,,",",3467,,"3,467","INSERT INTO public.populacao VALUES (352585,'JUMIRIM',3467);"
353760,",'",PERUIBE,,",",69697,,"69,697","INSERT INTO public.populacao VALUES (353760,'PERUIBE',69697);"
351170,",'",CHARQUEADA,,",",17539,,"17,539","INSERT INTO public.populacao VALUES (351170,'CHARQUEADA',17539);"
351740,",'",GUAIRA,,",",41283,,"41,283","INSERT INTO public.populacao VALUES (351740,'GUAIRA',41283);"
353960,",'",PLANALTO,,",",5370,,"5,37","INSERT INTO public.populacao VALUES (353960,'PLANALTO',5370);"
350395,",'",ASPASIA,,",",1815,,"1,815","INSERT INTO public.populacao VALUES (350395,'ASPASIA',1815);"
353330,",'",NOVA LUZITANIA,,",",4217,,0,"INSERT INTO public.populacao VALUES (353330,'NOVA LUZITANIA',4217);"
351360,",'",CUNHA,,",",21373,,"21,373","INSERT INTO public.populacao VALUES (351360,'CUNHA',21373);"
354190,",'",QUELUZ,,",",13788,,"13,788","INSERT INTO public.populacao VALUES (354190,'QUELUZ',13788);"
352770,",'",LUIZIANIA,,",",5918,,0,"INSERT INTO public.populacao VALUES (352770,'LUIZIANIA',5918);"
353210,",'",MURUTINGA DO SUL,,",",4525,,"4,525","INSERT INTO public.populacao VALUES (353210,'MURUTINGA DO SUL',4525);"
354650,",'",SANTA ERNESTINA,,",",5577,,"5,577","INSERT INTO public.populacao VALUES (354650,'SANTA ERNESTINA',5577);"
350850,",'",CACAPAVA,,",",95752,,"95,752","INSERT INTO public.populacao VALUES (350850,'CACAPAVA',95752);"
353800,",'",PINDAMONHANGABA,,",",171885,,"171,885","INSERT INTO public.populacao VALUES (353800,'PINDAMONHANGABA',171885);"
351060,",'",CARAPICUIBA,,",",405375,,"405,375","INSERT INTO public.populacao VALUES (351060,'CARAPICUIBA',405375);"
350100,",'",ALTINOPOLIS,,",",16221,,"16,221","INSERT INTO public.populacao VALUES (350100,'ALTINOPOLIS',16221);"
354765,",'",SANTA SALETE,,",",1558,,"1,558","INSERT INTO public.populacao VALUES (354765,'SANTA SALETE',1558);"
351980,",'",ICEM,,",",8363,,"8,363","INSERT INTO public.populacao VALUES (351980,'ICEM',8363);"
352720,",'",LORENA,,",",89532,,"89,532","INSERT INTO public.populacao VALUES (352720,'LORENA',89532);"
351070,",'",CARDOSO,,",",12371,,"12,371","INSERT INTO public.populacao VALUES (351070,'CARDOSO',12371);"
350780,",'",BRODOWSKI,,",",25605,,"25,605","INSERT INTO public.populacao VALUES (350780,'BRODOWSKI',25605);"
353440,",'",OSASCO,,",",701428,,"701,428","INSERT INTO public.populacao VALUES (353440,'OSASCO',701428);"
352690,",'",LIMEIRA,,",",310783,,"310,783","INSERT INTO public.populacao VALUES (352690,'LIMEIRA',310783);"
352240,",'",ITAPEVA,,",",95241,,"95,241","INSERT INTO public.populacao VALUES (352240,'ITAPEVA',95241);"
352800,",'",MACATUBA,,",",17263,,"17,263","INSERT INTO public.populacao VALUES (352800,'MACATUBA',17263);"
351120,",'",CATIGUA,,",",7905,,"7,905","INSERT INTO public.populacao VALUES (351120,'CATIGUA',7905);"
354460,",'",SABINO,,",",5638,,"5,638","INSERT INTO public.populacao VALUES (354460,'SABINO',5638);"
353390,",'",OLIMPIA,,",",55477,,"55,477","INSERT INTO public.populacao VALUES (353390,'OLIMPIA',55477);"
351220,",'",CONCHAL,,",",28491,,"28,491","INSERT INTO public.populacao VALUES (351220,'CONCHAL',28491);"
353320,",'",NOVA INDEPENDENCIA,,",",4135,,0,"INSERT INTO public.populacao VALUES (353320,'NOVA INDEPENDENCIA',4135);"
355370,",'",TAQUARITINGA,,",",57547,,"57,547","INSERT INTO public.populacao VALUES (355370,'TAQUARITINGA',57547);"
350910,",'",CAIUA,,",",6017,,"6,017","INSERT INTO public.populacao VALUES (350910,'CAIUA',6017);"
353880,",'",PIRAJU,,",",29930,,"29,93","INSERT INTO public.populacao VALUES (353880,'PIRAJU',29930);"
350580,",'",BASTOS,,",",20952,,"20,952","INSERT INTO public.populacao VALUES (350580,'BASTOS',20952);"
350120,",'",ALVARES FLORENCE,,",",3616,,"3,616","INSERT INTO public.populacao VALUES (350120,'ALVARES FLORENCE',3616);"
354420,",'",RIOLANDIA,,",",12856,,0,"INSERT INTO public.populacao VALUES (354420,'RIOLANDIA',12856);"
350860,",'",CACHOEIRA PAULISTA,,",",33827,,"33,827","INSERT INTO public.populacao VALUES (350860,'CACHOEIRA PAULISTA',33827);"
354210,",'",RAFARD,,",",9126,,"9,126","INSERT INTO public.populacao VALUES (354210,'RAFARD',9126);"
353290,",'",NOVA EUROPA,,",",11519,,"11,519","INSERT INTO public.populacao VALUES (353290,'NOVA EUROPA',11519);"
354240,",'",REGENTE FEIJO,,",",20523,,"20,523","INSERT INTO public.populacao VALUES (354240,'REGENTE FEIJO',20523);"
351330,",'",CRUZALIA,,",",2021,,"2,021","INSERT INTO public.populacao VALUES (351330,'CRUZALIA',2021);"
354810,",'",SANTO ANTONIO DO JARDIM,,",",6000,,0,"INSERT INTO public.populacao VALUES (354810,'SANTO ANTONIO DO JARDIM',6000);"
352044,",'",ILHA SOLTEIRA,,",",26886,,"26,886","INSERT INTO public.populacao VALUES (352044,'ILHA SOLTEIRA',26886);"
353060,",'",MOGI DAS CRUZES,,",",455587,,"455,587","INSERT INTO public.populacao VALUES (353060,'MOGI DAS CRUZES',455587);"
355130,",'",SEBASTIANOPOLIS DO SUL,,",",3595,,"3,595","INSERT INTO public.populacao VALUES (355130,'SEBASTIANOPOLIS DO SUL',3595);"
351300,",'",COTIA,,",",257882,,"257,882","INSERT INTO public.populacao VALUES (351300,'COTIA',257882);"
351480,",'",ELDORADO,,",",15592,,"15,592","INSERT INTO public.populacao VALUES (351480,'ELDORADO',15592);"
353500,",'",PALESTINA,,",",13285,,"13,285","INSERT INTO public.populacao VALUES (353500,'PALESTINA',13285);"
355100,",'",SAO VICENTE,,",",370839,,"370,839","INSERT INTO public.populacao VALUES (355100,'SAO VICENTE',370839);"
352280,",'",ITAPORANGA,,",",15197,,"15,197","INSERT INTO public.populacao VALUES (352280,'ITAPORANGA',15197);"
351390,",'",DIVINOLANDIA,,",",11027,,0,"INSERT INTO public.populacao VALUES (351390,'DIVINOLANDIA',11027);"
351710,",'",GLICERIO,,",",4842,,"4,842","INSERT INTO public.populacao VALUES (351710,'GLICERIO',4842);"
355290,",'",TACIBA,,",",6371,,"6,371","INSERT INTO public.populacao VALUES (355290,'TACIBA',6371);"
351495,",'",EMBAUBA,,",",2446,,"2,446","INSERT INTO public.populacao VALUES (351495,'EMBAUBA',2446);"
352440,",'",JACAREI,,",",237119,,"237,119","INSERT INTO public.populacao VALUES (352440,'JACAREI',237119);"
354040,",'",POPULINA,,",",4136,,"4,136","INSERT INTO public.populacao VALUES (354040,'POPULINA',4136);"
